id,title,genre,director,cast,synopsis,image_url,pred_genre_CLIP,pred_genre_BERT,pred_genre_BERT-CLIP,pred_genres_MM,Action_CLIP_prob,Adventure_CLIP_prob,Animation_CLIP_prob,Biography_CLIP_prob,Comedy_CLIP_prob,Crime_CLIP_prob,Documentary_CLIP_prob,Drama_CLIP_prob,Family_CLIP_prob,Fantasy_CLIP_prob,Game-Show_CLIP_prob,History_CLIP_prob,Music_CLIP_prob,Mystery_CLIP_prob,News_CLIP_prob,Reality-TV_CLIP_prob,Romance_CLIP_prob,Sci-Fi_CLIP_prob,Sport_CLIP_prob,Talk-Show_CLIP_prob,Action_BERT_prob,Adventure_BERT_prob,Animation_BERT_prob,Biography_BERT_prob,Comedy_BERT_prob,Crime_BERT_prob,Documentary_BERT_prob,Drama_BERT_prob,Family_BERT_prob,Fantasy_BERT_prob,Game-Show_BERT_prob,History_BERT_prob,Music_BERT_prob,Mystery_BERT_prob,News_BERT_prob,Reality-TV_BERT_prob,Romance_BERT_prob,Sci-Fi_BERT_prob,Sport_BERT_prob,Talk-Show_BERT_prob,Action_BERT-CLIP_prob,Adventure_BERT-CLIP_prob,Animation_BERT-CLIP_prob,Biography_BERT-CLIP_prob,Comedy_BERT-CLIP_prob,Crime_BERT-CLIP_prob,Documentary_BERT-CLIP_prob,Drama_BERT-CLIP_prob,Family_BERT-CLIP_prob,Fantasy_BERT-CLIP_prob,Game-Show_BERT-CLIP_prob,History_BERT-CLIP_prob,Music_BERT-CLIP_prob,Mystery_BERT-CLIP_prob,News_BERT-CLIP_prob,Reality-TV_BERT-CLIP_prob,Romance_BERT-CLIP_prob,Sci-Fi_BERT-CLIP_prob,Sport_BERT-CLIP_prob,Talk-Show_BERT-CLIP_prob,Action_MM_prob,Adventure_MM_prob,Animation_MM_prob,Biography_MM_prob,Comedy_MM_prob,Crime_MM_prob,Documentary_MM_prob,Drama_MM_prob,Family_MM_prob,Fantasy_MM_prob,Game-Show_MM_prob,History_MM_prob,Music_MM_prob,Mystery_MM_prob,News_MM_prob,Reality-TV_MM_prob,Romance_MM_prob,Sci-Fi_MM_prob,Sport_MM_prob,Talk-Show_MM_prob,Action_CLIP_pred,Adventure_CLIP_pred,Animation_CLIP_pred,Biography_CLIP_pred,Comedy_CLIP_pred,Crime_CLIP_pred,Documentary_CLIP_pred,Drama_CLIP_pred,Family_CLIP_pred,Fantasy_CLIP_pred,Game-Show_CLIP_pred,History_CLIP_pred,Music_CLIP_pred,Mystery_CLIP_pred,News_CLIP_pred,Reality-TV_CLIP_pred,Romance_CLIP_pred,Sci-Fi_CLIP_pred,Sport_CLIP_pred,Talk-Show_CLIP_pred,Action_BERT_pred,Adventure_BERT_pred,Animation_BERT_pred,Biography_BERT_pred,Comedy_BERT_pred,Crime_BERT_pred,Documentary_BERT_pred,Drama_BERT_pred,Family_BERT_pred,Fantasy_BERT_pred,Game-Show_BERT_pred,History_BERT_pred,Music_BERT_pred,Mystery_BERT_pred,News_BERT_pred,Reality-TV_BERT_pred,Romance_BERT_pred,Sci-Fi_BERT_pred,Sport_BERT_pred,Talk-Show_BERT_pred,Action_BERT-CLIP_pred,Adventure_BERT-CLIP_pred,Animation_BERT-CLIP_pred,Biography_BERT-CLIP_pred,Comedy_BERT-CLIP_pred,Crime_BERT-CLIP_pred,Documentary_BERT-CLIP_pred,Drama_BERT-CLIP_pred,Family_BERT-CLIP_pred,Fantasy_BERT-CLIP_pred,Game-Show_BERT-CLIP_pred,History_BERT-CLIP_pred,Music_BERT-CLIP_pred,Mystery_BERT-CLIP_pred,News_BERT-CLIP_pred,Reality-TV_BERT-CLIP_pred,Romance_BERT-CLIP_pred,Sci-Fi_BERT-CLIP_pred,Sport_BERT-CLIP_pred,Talk-Show_BERT-CLIP_pred,Action_MM_pred,Adventure_MM_pred,Animation_MM_pred,Biography_MM_pred,Comedy_MM_pred,Crime_MM_pred,Documentary_MM_pred,Drama_MM_pred,Family_MM_pred,Fantasy_MM_pred,Game-Show_MM_pred,History_MM_pred,Music_MM_pred,Mystery_MM_pred,News_MM_pred,Reality-TV_MM_pred,Romance_MM_pred,Sci-Fi_MM_pred,Sport_MM_pred,Talk-Show_MM_pred
tt29475143,Alien Disclosure Files,"Documentary, Sci-Fi",Phil Paul Call,"Joe Garner, John B. Wells, Ron James, Devon Nicholson, Earl Grey Anderson","Are we alone? For nearly a century governments have classified contact with extraterrestrial life, in the past 5 years there have been more declassified UAP events than ever. It's time for disclosure. These are the Alien Disclosure Files.",https://m.media-amazon.com/images/M/MV5BYWY4YmQ4NjAtNTdhOS00MDhlLWEyNjYtZTJiYjMwNTc1YmQ3XkEyXkFqcGc@._V1_.jpg,,"Documentary, News",Documentary,Documentary,4.89E-05,4.47E-05,0.000122502,0.016491478,0.000128854,0.00283165,0.24948394,0.001629678,4.47E-06,6.11E-06,5.64E-05,0.001055098,0.0001989,0.000124805,0.12703742,0.013923326,5.04E-06,0.001534196,0.003726091,0.1558945,0.00178525,0.013700814,0.002513863,0.01621729,0.004857461,0.016491447,0.9304854,0.018422848,0.01316415,0.001613999,0.002131935,0.10885095,0.006590986,0.005288569,0.7729541,0.004694726,0.001584196,0.002053257,0.002965132,0.065073945,1.31E-09,2.50E-09,3.60E-09,7.71E-08,1.57E-06,4.25E-07,0.9656892,2.11E-06,2.34E-09,1.16E-11,2.14E-10,1.10E-05,7.00E-07,5.76E-08,0.054989375,8.46E-06,6.81E-12,0.001086897,5.60E-10,0.031467903,6.96E-10,2.75E-06,0.002916123,1.01E-08,5.03E-08,1.33E-07,0.9999999,7.23E-09,3.02E-07,6.48E-09,3.51E-08,1.54E-08,9.34E-08,5.32E-05,5.64E-07,4.12E-07,1.08E-11,0.37106645,2.77E-06,1.12E-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tt0105825,Wiping the Tears of Seven Generations,"Documentary, History","Fidel Moreno, Gary Rhine",,"Tells the story of the Si Tanka Wokiksuye; 'The Bigfoot Memorial Ride'. At first a small group, but eventually 300 Lakota Sioux Indian horseback riders with support crews of hundreds more, rode for two weeks through bitter, sub-zero winter weather, reverently praying and mourning over the lives lost exactly 100 years earlier at The Wounded Knee Massacre.",https://m.media-amazon.com/images/M/MV5BMTM5NDk1ODY5OF5BMl5BanBnXkFtZTcwNDM4NzMyMQ@@._V1_.jpg,"Documentary, History",Documentary,Documentary,"Documentary, History",1.95E-10,3.76E-05,1.61E-07,0.053402666,1.27E-11,0.000113009,1,0.00221834,2.90E-06,1.71E-12,3.05E-12,0.5384459,3.77E-05,0.000329577,0.000292139,1.01E-09,2.80E-14,2.71E-06,1.77E-08,4.48E-10,0.002075927,0.032170273,0.005619895,0.05660152,0.002161894,0.02361152,0.9946802,0.09735017,0.023609757,0.001920365,0.002009105,0.28033084,0.009468758,0.006758644,0.14314039,0.006370986,0.002723044,0.002946786,0.007640076,0.005516728,1.96E-09,1.43E-06,1.07E-13,0.00069909,1.94E-15,2.54E-07,1,1.42E-05,8.27E-10,1.58E-18,4.93E-18,0.23530066,0.05500546,6.60E-09,7.86E-07,1.79E-12,7.83E-19,1.20E-11,2.20E-11,5.91E-13,3.35E-10,2.63E-06,1.89E-07,1.31E-05,2.40E-07,9.56E-06,0.9999999,5.89E-06,9.86E-08,4.00E-09,5.70E-10,0.99808866,4.10E-07,0.000121485,1.15E-05,9.78E-09,7.78E-12,0.000118573,1.84E-07,4.77E-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tt16116866,Trivial Pursuit,Game-Show,John Adams,"LeVar Burton, Kandy Rohmann, Valerie Loureda, Carla Gonzalez, Barry Margulies","Follows a new adaptation of classic board game ""Trivial Pursuit"".",https://m.media-amazon.com/images/M/MV5BMjJkZDI1ODMtZTQxYS00YjlkLWI1MmEtZGI0OGU4ZDYxYTlmXkEyXkFqcGc@._V1_.jpg,Game-Show,Game-Show,Game-Show,Game-Show,0.001829303,4.77E-05,1.54E-06,2.31E-06,0.09552394,2.60E-07,0.003203325,5.56E-08,0.000816106,4.65E-06,0.65387386,7.27E-05,0.002925754,9.07E-08,9.75E-07,4.41E-05,1.71E-07,3.99E-07,8.09E-07,0.014177605,0.014420061,0.026064951,0.005566308,0.004246585,0.069930814,0.003469404,0.035446443,0.012664772,0.12652792,0.005568097,0.92286223,0.008144785,0.006444349,0.003602379,0.010888428,0.08809813,0.010070013,0.003017076,0.035084173,0.005042476,0.06763277,0.011836332,1.30E-09,2.11E-06,0.009307019,1.28E-07,3.65E-06,3.72E-07,0.00019725,2.43E-06,0.99569595,6.06E-07,6.58E-05,1.06E-05,5.25E-09,0.41150466,0.001912076,5.64E-07,3.08E-07,1.61E-06,0.000194712,0.00022039,3.39E-06,3.07E-08,0.007590549,4.33E-10,0.00161789,1.22E-08,8.13E-05,3.35E-06,0.99999523,1.58E-10,3.33E-05,1.13E-10,7.97E-08,5.20E-05,5.27E-06,2.01E-06,7.76E-06,4.33E-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tt0331136,Inside the NFL,"News, Sport, Talk-Show","Jeff Winn, Michael Sheehan","Phil Simms, Cris Collinsworth, Warren Sapp, James Brown, Ray Lewis","Sports Emmy® winning weekly show with the most experienced, articulate and connected analysts in the business. Get expert insight, exclusive commentary and special on and off the field features. Every team. Every game. Every week.",https://m.media-amazon.com/images/M/MV5BODYxZTQ1NDQtM2U4ZC00ZjNiLTlkNzgtMmJiMjVmZGExMWExXkEyXkFqcGc@._V1_.jpg,Sport,"News, Sport, Talk-Show","News, Sport, Talk-Show","News, Sport, Talk-Show",1.05E-05,4.84E-08,3.70E-06,0.020026343,0.000158769,1.83E-07,0.001001233,6.08E-06,7.07E-05,2.40E-05,2.23E-06,0.00020532,0.000217309,2.27E-08,0.22787727,0.000115222,2.47E-08,2.24E-07,0.8584979,0.12754121,0.101462394,0.011630659,0.008949798,0.019587606,0.032125,0.017410453,0.013433821,0.013180748,0.009078365,0.010396734,0.012716366,0.026823524,0.022945197,0.014060282,0.6736692,0.015272877,0.00944532,0.012160143,0.82900995,0.90770704,1.72E-15,2.49E-24,1.07E-32,2.93E-12,5.44E-13,7.21E-30,7.66E-09,6.70E-22,1.95E-14,1.14E-30,4.12E-16,1.66E-21,1.78E-14,6.84E-20,0.9890533,9.70E-14,1.62E-26,1.42E-27,1,0.5420509,3.31E-06,6.98E-11,3.00E-07,4.39E-06,8.48E-08,4.16E-08,0.000565733,1.80E-09,1.16E-08,9.02E-09,3.02E-08,1.07E-09,3.05E-07,6.04E-09,0.9959472,1.44E-08,6.11E-11,2.21E-05,0.9990244,0.99954885,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
tt1086542,Look East,News,Ben Bawden,"Ajay Tegala, Waseem Mirza, Amelia Reynolds, Tom Edwards, Nikki Fox",Local news programme for the East of England.,https://m.media-amazon.com/images/M/MV5BMzg2NTc4MmEtMTZhNC00MDIxLWI0NWEtMjYwNzRhZjU0Y2JhXkEyXkFqcGc@._V1_.jpg,News,News,News,News,8.80E-08,6.36E-09,1.64E-08,1.07E-05,0.000103701,1.14E-07,0.000877896,3.76E-05,0.000433176,1.82E-06,4.58E-07,0.000173204,6.55E-07,2.42E-08,0.9999125,5.86E-05,1.70E-08,7.90E-07,0.000192643,0.000543189,0.004510341,0.00554179,0.00303913,0.006359107,0.012840445,0.006402126,0.17006782,0.014859789,0.016273048,0.002374826,0.002794142,0.014203927,0.00570762,0.002917418,0.950747,0.010031162,0.002773012,0.00157814,0.014097612,0.06780221,1.11E-10,5.08E-15,6.90E-23,1.44E-09,4.43E-07,1.26E-10,6.37E-05,1.28E-12,9.30E-06,5.56E-17,5.86E-13,1.17E-09,1.06E-11,1.23E-10,0.99999475,1.85E-08,1.27E-16,9.53E-15,8.04E-09,6.80E-08,4.28E-07,8.84E-07,4.58E-05,8.45E-06,9.76E-06,2.20E-05,0.003695677,2.89E-06,1.92E-05,9.54E-06,4.65E-05,4.55E-07,2.35E-07,2.53E-07,0.98503244,1.91E-05,2.35E-06,1.01E-06,2.47E-05,9.85E-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
tt4402056,900 Neighbours,Documentary,Brendan Fletcher,Sasha Murray,"Australian headlines screamed ""Skeleton Found In Housing Commission Apartment"" ... the man had died six months earlier but no-one noticed. The Northcott building is one of Sydney's most infamous buildings - synonymous with suicides, murders and drug deals. But now, Northcott residents are working hard to turn that perception around. This is their inspirational story.",https://m.media-amazon.com/images/M/MV5BNzBiNDRjZDYtOTYzYi00OWFmLWI2MzAtMjkyYmE4ZDcyNDYzXkEyXkFqcGc@._V1_.jpg,Documentary,Documentary,Documentary,Documentary,2.36E-10,2.91E-06,7.21E-06,0.000123128,8.15E-07,7.04E-06,1,0.000743662,9.67E-08,8.98E-11,8.42E-11,0.09753162,1.77E-06,8.38E-05,2.02E-06,2.74E-09,3.39E-14,2.76E-07,3.21E-07,1.55E-13,0.001328912,0.008556607,0.002971232,0.031257648,0.00339581,0.21051413,0.98277456,0.041610826,0.010994841,0.001376001,0.001224156,0.044380777,0.003432394,0.006143703,0.18194224,0.00500672,0.001066922,0.001035359,0.003976082,0.012105289,1.99E-17,2.00E-18,1.86E-22,2.80E-12,1.14E-19,0.010010182,1,6.17E-11,2.79E-17,3.08E-24,5.55E-25,2.46E-06,1.69E-22,2.89E-07,1.99E-06,1.26E-14,8.90E-27,1.79E-15,4.05E-22,2.36E-20,4.94E-10,2.52E-05,5.42E-05,1.39E-05,8.11E-06,0.003874894,0.99999976,3.85E-07,1.37E-06,6.15E-10,3.06E-09,4.50E-08,8.87E-08,1.55E-06,1.63E-06,4.42E-08,4.97E-10,0.000100456,1.65E-07,4.65E-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tt10631726,3 Adam,Talk-Show,"Onur Kaba, Mustafa Kazan, Mehmet Çam","Eser Yenenler, Oguzhan Koç, Ibrahim Büyükak, Kerem Bürsin, Almeda Abazi","3 Adam is a talk show program by Eser Yenenler, Ibrahim Büyükak and Oguzhan Koc, who have been very close friends since they were little.",https://m.media-amazon.com/images/M/MV5BNDBhNjg4M2MtMDA2Yi00NGIwLWI1NmMtNDNkNDNmYTcyZGNkXkEyXkFqcGc@._V1_.jpg,Game-Show,Talk-Show,"Comedy, Talk-Show",Talk-Show,0.000172495,1.01E-06,6.08E-07,2.74E-07,0.19361997,2.59E-07,0.000654161,2.19E-07,0.001290319,5.15E-06,0.9659194,1.02E-06,0.000131007,1.10E-08,0.051083744,0.001145885,3.98E-06,3.40E-07,0.00016002,0.3767129,0.005285559,0.005031399,0.004590202,0.009322736,0.42939824,0.005164256,0.02364745,0.010139449,0.009656413,0.003304499,0.007875641,0.004215612,0.037171736,0.003537375,0.07938537,0.022580165,0.007381255,0.002436564,0.01772122,0.9582663,3.69E-06,5.46E-09,1.71E-11,2.29E-06,0.59022766,5.84E-08,0.001634611,7.73E-05,4.91E-07,1.18E-08,1.93E-08,3.26E-08,4.86E-06,1.80E-08,0.002598501,8.87E-07,1.38E-06,2.22E-07,5.37E-08,0.9989221,7.10E-07,3.40E-08,3.91E-06,2.71E-07,3.08E-05,2.19E-07,0.002244429,1.80E-07,1.27E-06,4.86E-07,6.35E-06,6.88E-09,2.78E-05,9.91E-07,3.03E-05,2.98E-05,1.48E-08,0.000216769,1.50E-05,0.99998176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
tt3278316,The Pete Holmes Show,"Comedy, Talk-Show","Billy Bollotino, Oren Brimer","Pete Holmes, Robert James Ashe, Matthew J. McCarthy, Henry Dittman, Kumail Nanjiani",It's a guy who does funny s**t,https://m.media-amazon.com/images/M/MV5BNWQzMTVkNDUtNzYyYS00MWU4LWEyYTctYWFmNDc0ODNmMWMwXkEyXkFqcGc@._V1_.jpg,"Comedy, Talk-Show","Comedy, Talk-Show",Comedy,"Comedy, Talk-Show",3.29E-07,2.38E-07,1.18E-05,2.15E-05,0.873375,4.03E-07,0.005485395,6.98E-05,3.13E-06,1.96E-05,2.44E-06,4.29E-07,0.001242296,1.50E-09,0.055026036,0.047198836,1.72E-05,8.79E-06,4.50E-05,0.9626846,0.003856014,0.007390156,0.011210417,0.00976558,0.97420204,0.003832027,0.06057546,0.018476965,0.033351872,0.00715992,0.01879287,0.00506294,0.03449994,0.004400161,0.045116507,0.021389784,0.017793119,0.003785727,0.005101442,0.7897414,0.000116613,5.56E-06,0.000185328,6.51E-05,0.99943644,2.67E-05,0.006607942,0.000601855,0.000405555,8.85E-06,0.00012546,1.80E-05,0.000185603,4.73E-07,1.32E-05,0.012309102,7.91E-05,1.55E-07,0.000142438,0.09559447,4.99E-06,3.77E-09,1.49E-05,1.95E-07,0.9999474,1.38E-07,0.000545959,1.32E-07,2.37E-06,6.56E-05,2.69E-06,1.99E-09,0.000151106,1.74E-09,8.12E-06,1.76E-07,1.83E-07,1.44E-06,3.13E-07,0.9997485,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
tt6956148,Soft Water Hard Stone,Documentary,"Flavia Angelico, James Lloyd","Saskia Sassen, Richard Palmer, Newton Lima Azevedo, Jose Galizia Tundisi, Marussia Whately","With populations on the rise, present and future generations will search for solutions of how to deal with water crises in big cities. Soft Water Hard Stone is a heartfelt call to action on environmental and human issues and an investigation into the abuse of this most precious resource. The film bears witness to the most critical urban water crisis ever, in São Paulo Brazil, a metropolis with an exploding population of over 20 million people. From the toxic rivers turned into open sewers, to entire neighborhoods without water supply for weeks, the filmmakers portray every scene of this disturbing drama. Historical, political, financial and social issues are raised with clarity and sobriety. A profound dialogue among victims, scientists, influential leaders and decision-makers turns this complicated subject into a feature-length narrative that presents the facts through a dynamic construction of characters and their points of view. International figures such as Fulbright Scholar Richard Palmer and Saskia Sassen from Columbia University discuss, alongside representatives of the UN and the Brazilian Academy of Sciences, actual and future challenges. Public health experts and environmental activists expose the current situation and question the measures being taken, and ordinary citizens relate the terrible consequences of the crisis. Water shortages are becoming more frequent, green areas and water sources are vanishing and the mismanagement of solid waste and sewage is suffocating the rivers and reservoirs. While the politicians look the other way people are suffering. What can be done? More than a case study of a local problem, this film adds to a growing body of investigative documentaries that are facing up to the question on how humanity is dealing with what really matters: our survival.",https://m.media-amazon.com/images/M/MV5BNGJiYzcxZjAtMjJhZS00MjJiLThlMDctOTFiYzM0YWM0ZDk3XkEyXkFqcGc@._V1_.jpg,Documentary,Documentary,Documentary,Documentary,4.43E-07,9.27E-07,1.23E-05,0.000115072,0.000258536,0.005829105,0.9386961,6.62E-05,1.62E-07,8.71E-08,0.000107378,0.000137885,0.000489944,7.04E-05,6.32E-05,0.04674443,1.50E-07,3.09E-05,4.71E-06,0.000784818,0.001964329,0.023170399,0.00491049,0.025736798,0.003763872,0.024583586,0.98911685,0.07686092,0.028012877,0.001956016,0.001919214,0.14895941,0.008512297,0.005613027,0.49216765,0.004972337,0.002177079,0.002443893,0.003943771,0.011167179,9.33E-08,8.20E-08,1.50E-08,3.51E-06,7.44E-12,2.06E-06,0.999998,0.00070534,1.69E-09,3.50E-12,2.18E-13,0.1075836,7.22E-08,2.23E-05,0.08990566,5.82E-11,1.74E-13,6.15E-08,1.16E-10,1.05E-07,5.30E-10,1.06E-05,8.41E-05,7.49E-07,3.09E-06,2.77E-06,0.9999999,1.56E-07,7.51E-07,4.68E-09,1.67E-08,5.46E-08,2.97E-07,1.43E-06,9.61E-06,2.02E-08,9.40E-11,0.001389146,1.89E-07,4.87E-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tt11031770,The Not Too Late Show with Elmo,"Comedy, Family","Benjamin Lehmann, Ken Diego, Shannon Flynn, Jack Jameson, Matt Vogel","Ryan Dillon, David Rudman, Samantha McDanel, Stephanie D'Abruzzo, Tyler Bunch",A new talk show hosted by Elmo the muppet.,https://m.media-amazon.com/images/M/MV5BMWQyMWM2NzYtYzE2NC00NTdmLTg2ZmEtYzFmYzhhMDU0N2EwXkEyXkFqcGc@._V1_.jpg,Documentary,"Comedy, Talk-Show","Comedy, Talk-Show","Comedy, Family",0.000438125,0.001691595,0.06341378,0.30252442,0.03784478,0.02021032,0.9049543,0.010410397,0.015653146,0.008028489,0.002611046,0.008245498,0.013607388,0.001106915,0.01987939,0.009708439,0.00158093,0.012098528,0.001081417,0.33026978,0.009998182,0.005994191,0.008723792,0.012008816,0.7080587,0.006870715,0.023746088,0.011456067,0.014809301,0.005926834,0.011725715,0.005591317,0.07715342,0.005687948,0.07897177,0.015612553,0.011027093,0.004041088,0.03158708,0.9698232,3.37E-06,7.57E-07,7.79E-05,1.58E-06,0.9973949,7.13E-10,0.001199473,0.000158312,8.11E-05,8.87E-06,3.93E-06,6.43E-08,0.015435318,2.05E-10,0.011828795,2.21E-05,3.65E-06,3.37E-09,1.02E-06,0.99935704,6.35E-06,1.57E-07,9.72E-08,4.00E-06,0.99989855,8.66E-07,0.002991867,4.41E-05,0.9999815,0.019955998,8.25E-06,2.43E-08,7.71E-08,1.03E-10,2.30E-06,1.13E-07,2.11E-06,1.44E-08,5.77E-08,9.45E-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
